,user,text,favorite_count,retweet_count,created_at
111,elonmusk,"@WallStreetSilv Macron is doing the difficult, but right thing. The retirement age of 62 was set when lifespans were much shorter. It is impossible for a small number of workers to support a massive number of retirees.",93215,5392,2023-01-20 22:50:23+00:00
112,elonmusk,@proetrie 🤣,5650,157,2023-01-20 22:44:23+00:00
113,elonmusk,@BillyM2k @unusual_whales It is actually not true. Employee headcount is almost double that.,5806,369,2023-01-20 22:43:30+00:00
114,elonmusk,@BillyM2k @christinebarnum What are you playing?,5957,313,2023-01-20 21:21:35+00:00
115,elonmusk,@EvaFoxU Cool :),2757,116,2023-01-20 20:48:20+00:00
116,elonmusk,"@TheRabbitHole84 Yes, that will be added in an upcoming release. Also, if your tweet is bookmarked, it will be treated as a “quiet like” and increment your likes counter.",7417,456,2023-01-20 20:35:14+00:00
117,elonmusk,"Major Twitter improvement we just released is that you can now bookmark tweets from tweet details page.

Importantly, bookmarks are *private*, unlike likes. No one other than you can see your bookmarks.",131887,11237,2023-01-20 20:30:40+00:00
118,elonmusk,Twitter app update now available on App Store,137685,10493,2023-01-20 20:20:17+00:00
119,elonmusk,@EvaFoxU True,31216,1019,2023-01-20 20:13:58+00:00
120,elonmusk,@BillyM2k 🥳🥳,4080,184,2023-01-20 20:03:10+00:00
121,elonmusk,"@TitterTakeover Onboarding should have fewer steps, not more, but creating pinned lists should automatically be offered if you swipe past Following. 

Also, we need to offer suggested lists by category, so you can use awesome subject matter lists created by others.",2541,217,2023-01-20 20:02:18+00:00
122,elonmusk,"Use pinned Lists to improve your Twitter experience!

1. Tap Lists on your profile page.
2. Create list of accounts to follow.
3. Tap pin icon. 

This allows you to swipe left/right between For You, Following and Lists.",66473,9802,2023-01-20 19:55:41+00:00
123,elonmusk,"@SawyerMerritt @Tesla Teslas are the safest cars on the road, but most people don’t know that",72436,5574,2023-01-20 19:39:06+00:00
124,elonmusk,@morganisawizard Bolitho also fought in the Battle of the Somme. He was buried alive in a pile of bodies with a broken neck.,6171,266,2023-01-20 19:08:13+00:00
125,elonmusk,@WallStreetSilv Concerning,19342,1032,2023-01-20 18:33:35+00:00
126,elonmusk,@catturd2 @amuse @Twitter This is bizarre. Looking into it.,17984,1276,2023-01-20 18:24:29+00:00
127,elonmusk,@paulg Exactly,8698,418,2023-01-20 16:28:54+00:00
128,elonmusk,"@engineers_feed Ok, maybe a little pontificating",27185,921,2023-01-20 16:06:16+00:00
129,elonmusk,@disclosetv …,34627,1749,2023-01-20 15:48:11+00:00
130,elonmusk,@cb_doge App update has been approved by Apple. Should go out in next day or so.,2262,174,2023-01-20 15:45:00+00:00
131,elonmusk,@mualphaxi The pendulum has swung a bit too far,125936,7166,2023-01-20 05:31:02+00:00
132,elonmusk,"@WallStreetSilv Even if you tax every billionaire in America at 100%, it barely makes a dent in the national debt. In the end, the government will be forced to tax everyone to pay the debt.

Btw, $31T doesn’t include unfunded liabilities, which are *much* higher.",79310,12104,2023-01-20 05:25:17+00:00
133,elonmusk,"@cb_doge @ElijahSchaffer If bots are removed from the system, their likes will be removed too. Are you seeing likes from clearly human accounts disappear?",3411,355,2023-01-20 05:10:01+00:00
134,elonmusk,@ElijahSchaffer Are you still finding engagement to be low?,3822,254,2023-01-20 05:07:43+00:00
135,elonmusk,@teslaownersSV The kind words are appreciated,47279,1716,2023-01-20 04:54:20+00:00
136,elonmusk,@micsolana @teslaownersSV @SjvTesla One of the bot defenses we implemented was flagging any account responding to tweets faster than humanly possible,4021,324,2023-01-20 03:59:54+00:00
137,elonmusk,@stillgray Good question to ask him,20822,1240,2023-01-19 23:31:54+00:00
138,elonmusk,"@teslaownersSV @SjvTesla It is very difficult to stop bots &amp; trolls, while not affecting real users. Won’t be perfect either way, but Twitter is far more resilient to fake accounts than it ever has been.",52394,3624,2023-01-19 21:15:05+00:00
139,elonmusk,"Twitter is arguably already the least wrong source of truth on the Internet, but we obviously still have a long way to go.

Enabling @CommunityNotes to operate at very large scale and providing maximum transparency about how Twitter works are fundamental to building trust.",167313,17480,2023-01-19 21:01:35+00:00
140,elonmusk,"Coming soon are notifications if you’ve replied, liked or retweeted something subsequently corrected by community https://t.co/uBSjJxV7Ww",44579,4953,2023-01-19 20:39:50+00:00
141,elonmusk,@ShellenbergerMD @mgurri The peer-enforced sameness of thought in most of the media is troubling,48449,5579,2023-01-19 19:00:48+00:00
142,elonmusk,"@Js_Makali @financialjuice No, I am wrong too often",4357,246,2023-01-19 18:18:56+00:00
143,elonmusk,"@SenSchumer Trimming some government expenditures would be wise
https://t.co/1EwWyqetir",9711,1127,2023-01-19 18:17:06+00:00
144,elonmusk,@financialjuice Peak oil demand probably happens within the next 5 years,3865,379,2023-01-19 18:14:24+00:00
145,elonmusk,"@financialjuice True, there will be a long tail of usage, but it will peak long before then",17620,834,2023-01-19 18:11:24+00:00
146,elonmusk,@Lukewearechange Ahem …,61575,2603,2023-01-19 18:08:02+00:00
147,elonmusk,@AlecStapp Seriously! It is super important to keep ace players in the United States. Forcing them to work for other countries is so crazy.,21311,1296,2023-01-19 18:07:27+00:00
148,elonmusk,"@teslaownersSV @Tesla @Ford @Rivian @LucidMotors Fed rate increases make cars more expensive for consumers, increasing the difficulty level for automotive companies",20586,1568,2023-01-19 18:03:56+00:00
149,elonmusk,@waitbutwhy 😳,2172,88,2023-01-19 17:59:26+00:00
150,elonmusk,@ggreenwald True,13954,749,2023-01-19 17:28:25+00:00
151,elonmusk,@OzraeliAvi Your critique is spot on,17758,1619,2023-01-19 11:30:03+00:00
152,elonmusk,@esherifftv A lot tbh,44930,1488,2023-01-19 11:08:38+00:00
153,elonmusk,@TheBabylonBee 🤣💯,37356,1360,2023-01-19 11:01:39+00:00
154,elonmusk,🛡️ VE RI TAS 🛡️,253678,21498,2023-01-19 10:54:51+00:00
155,elonmusk,@imcorinnemec lol,6812,209,2023-01-19 09:47:09+00:00
156,elonmusk,@Rainmaker1973 Hope you recover soon. Medical technology could be a lot better.,13516,544,2023-01-19 09:39:55+00:00
157,elonmusk,@levie Sweet dreams,39967,1472,2023-01-19 09:32:47+00:00
158,elonmusk,"@john @fullsendpodcast @joerogan The many ice ages &amp; continental drift give you a feeling for deep time
https://t.co/69DCA4MitL",15365,1020,2023-01-19 08:51:18+00:00
159,elonmusk,@greg_price11 Edelman is a despicable human being – his job is literally being a professional liar!,89196,9565,2023-01-19 08:23:14+00:00
160,elonmusk,@michaeljknowles “Recalibration of free speech”,12705,1434,2023-01-18 23:05:45+00:00
161,elonmusk,"@paulg People can disguise their own morality, but not that of their friends. Birds of a feather …",7187,724,2023-01-18 21:56:52+00:00
162,elonmusk,Great work by Tesla Team! https://t.co/aTu71lNuCl,45517,4236,2023-01-18 20:19:00+00:00
163,elonmusk,"To be clear, I’m not someone who thinks lots of government agencies should be abolished (maybe a few), but we should always question our institutions, as this strengthens the bedrock of democracy.",145390,14646,2023-01-18 18:34:59+00:00
164,elonmusk,Why did American media go from questioning the State and “speaking truth to power” to doing their bidding?,307425,40279,2023-01-18 18:24:13+00:00
165,elonmusk,@BillyM2k @unusual_whales 🤣,6700,232,2023-01-18 18:22:18+00:00
166,elonmusk,"@alx Will be interesting to see how the Biden administration reacts to this. 

They may try to weaponize Federal agencies against Twitter.",122865,12632,2023-01-18 18:18:56+00:00
167,elonmusk,The World Economic Forum should control the world,111437,41890,2023-01-18 16:49:31+00:00
168,elonmusk,@disclosetv WEF is increasingly becoming an unelected world government that the people never asked for and don’t want,249788,54589,2023-01-18 16:44:19+00:00
169,elonmusk,@ggreenwald @megynkelly Very true,5589,332,2023-01-18 16:34:42+00:00
170,elonmusk,"Media want to control what you know, which is why citizen journalism is essential https://t.co/cVL6C1VZXm",211482,36297,2023-01-18 16:30:55+00:00
171,elonmusk,@ElijahSchaffer An update to the For You algorithm included too many tweets from people users didn’t follow. That change has been reverted.,32955,2062,2023-01-18 11:02:06+00:00
172,elonmusk,@TaraBull808 Brief synchronization lag between our Atlanta &amp; Portland data centers,8067,481,2023-01-18 10:47:03+00:00
173,elonmusk,"@physorg_com @USC @PNASNews Maybe because it’s online &amp; social …

How is it possible that copycat propaganda is published simultaneously on so many legacy media channels? 

That is the question you should be asking.",63658,9463,2023-01-18 10:40:13+00:00
174,elonmusk,@EWoodhouse7 Interesting,3256,262,2023-01-18 08:37:38+00:00
175,elonmusk,@glennbeck @ShellenbergerMD Citizen journalism is vital to the future of civilization,98861,12458,2023-01-17 21:29:45+00:00
176,elonmusk,@mmm_machiavelli @ScottAdamsSays Wow,4476,350,2023-01-17 17:54:24+00:00
177,elonmusk,"The party is on!! 🚀 💫 ♥️
https://t.co/zoa3qmcXqC",150014,15449,2023-01-17 17:52:24+00:00
178,elonmusk,@ScottAdamsSays Would be great if someone could compile a game contest of who said the craziest stuff between 4chan and WEF! My money is on the latter.,39023,3822,2023-01-17 17:40:39+00:00
179,elonmusk,@karpathy Great thread,7437,355,2023-01-17 17:35:25+00:00
180,elonmusk,@TikTokInvestors Are these real? This video implies people physically show up to work.,103737,3602,2023-01-17 17:25:23+00:00
181,elonmusk,"Companies in general are missing the incredible opportunity that Twitter provides to reach customers. 

Just Tweet interesting things! That’s all it takes. https://t.co/XTzhNNwgt6",58376,6140,2023-01-17 17:20:58+00:00
182,elonmusk,The Car Aquatic https://t.co/P7KYF8J8HF,124730,10961,2023-01-17 17:15:51+00:00
